OBJECTID,STATE,COUNTY,NAME,FIPSCNTY,STNAME,FarmMarket,FarMarPresAbs,PercentOb16,FoodEnvInd,IncoRatio16,PerChildPov16
2685,6,37,Los Angeles,6037,California,125,1,21.8,10,3.268694183,4.4
1528,17,31,Cook,17031,Illinois,111,1,22.7,9.7,4.362913141,7.9
1665,25,17,Middlesex,25017,Massachusetts,60,1,30.4,9.7,5.213241496,32.9
1670,25,27,Worcester,25027,Massachusetts,60,1,26.4,9.6,3.953508524,3.3
1774,11,1,District of Columbia,11001,District of Columbia,54,1,19.9,9.6,3.813814206,8.7
313,42,101,Philadelphia,42101,Pennsylvania,50,1,34.8,9.5,4.271783866,9
1286,6,73,San Diego,6073,California,47,1,22.7,9.5,4.439919779,9.3
534,36,61,New York,36061,New York,46,1,33.6,9.5,4.769534912,14.2
749,36,47,Kings,36047,New York,45,1,27.5,9.4,3.708593484,16.4
3020,27,53,Hennepin,27053,Minnesota,44,1,30.9,9.4,4.350066878,8.8
2345,53,33,King,53033,Washington,43,1,29.7,9.4,3.836072394,17.4
1061,36,5,Bronx,36005,New York,41,1,28,9.4,4.771697363,10.6
2892,4,13,Maricopa,4013,Arizona,40,1,25.5,9.4,3.846837921,9.4
450,6,85,Santa Clara,6085,California,39,1,29.7,9.3,4.059061736,10.4
504,55,25,Dane,55025,Wisconsin,39,1,25.2,9.3,3.50283492,10.4
2161,12,86,Miami-Dade,12086,Florida,36,1,31.6,9.3,3.322086767,9.7
1993,9,3,Hartford,9003,Connecticut,35,1,29.7,9.3,3.388086938,14.7
2686,6,1,Alameda,6001,California,35,1,21.3,9.3,4.209186449,4.6
754,36,119,Westchester,36119,New York,31,1,28.8,9.3,3.485508826,10.2
1522,9,1,Fairfield,9001,Connecticut,31,1,24.2,9.3,3.736627245,5.5
1751,39,35,Cuyahoga,39035,Ohio,31,1,28.6,9.2,5.410773343,12
513,36,55,Monroe,36055,New York,29,1,31.7,9.2,3.901035673,9.8
152,39,49,Franklin,39049,Ohio,29,1,19.4,9.2,4.243467638,8.9
1350,26,125,Oakland,26125,Michigan,28,1,33.3,9.2,3.442320984,16.7
1567,25,25,Suffolk,25025,Massachusetts,28,1,16.9,9.2,4.02208712,11
2670,9,9,New Haven,9009,Connecticut,28,1,30.9,9.2,3.692525731,9.1
2962,6,75,San Francisco,6075,California,28,1,24.6,9.2,3.306220858,6.9
431,41,51,Multnomah,41051,Oregon,28,1,30.2,9.2,3.781556545,16.4
216,4,19,Pima,4019,Arizona,28,1,30.1,9.1,4.944231713,13
1098,26,163,Wayne,26163,Michigan,28,1,29.3,9.1,3.320071619,7.9
983,6,67,Sacramento,6067,California,26,1,32.4,9.1,3.867083333,11.7
2360,6,13,Contra Costa,6013,California,25,1,31.2,9.1,4.298705209,13.6
1560,25,5,Bristol,25005,Massachusetts,25,1,27.9,9.1,3.85957845,8.3
116,42,3,Allegheny,42003,Pennsylvania,25,1,33.1,9.1,3.406620259,7.6
523,55,79,Milwaukee,55079,Wisconsin,25,1,30.2,9.1,4.243069951,13.6
753,36,59,Nassau,36059,New York,24,1,32.3,9.1,3.770032789,12.1
98,6,59,Orange,6059,California,24,1,28.8,9.1,4.394267072,8.7
1585,25,9,Essex,25009,Massachusetts,24,1,29.4,9.1,3.976479674,9
1763,51,59,Fairfax,51059,Virginia,23,1,22.8,9.1,4.175410482,10.4
764,36,103,Suffolk,36103,New York,23,1,27.2,9.1,4.455316373,7
1996,6,81,San Mateo,6081,California,23,1,26.7,9.1,3.351613488,13.8
